Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS001_DataDrivenTest,Chrome 148.0.7778.97,,,12-05-2026 14:32:27,12-05-2026 14:33:28,1m - 1.010s,PASSED
,,,,,,,
Test Cases/OrangeHRM/TC001-Orange HRM Search - Datadriven Test,Chrome 148.0.7778.97,,,12-05-2026 14:32:27,12-05-2026 14:32:47,20.213s,PASSED
"DATA BINDING - {""ApplicationUrl"":""https://orange.katalon.com/web/index.php/auth/login"",""LoginUser"":""mohit.kumar"",""LoginPassword"":""********""}",,,,,,,
"openBrowser("""")",Chrome 148.0.7778.97,,,12-05-2026 14:32:27,12-05-2026 14:32:29,2.105s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 148.0.7778.97,,,12-05-2026 14:32:29,12-05-2026 14:32:30,0.397s,PASSED
navigateToUrl(ApplicationUrl),Chrome 148.0.7778.97,,,12-05-2026 14:32:30,12-05-2026 14:32:32,2.273s,PASSED
"setText(findTestObject(""OrangeHRM/Page_OrangeHRM/input_Username""), LoginUser)",Chrome 148.0.7778.97,,,12-05-2026 14:32:32,12-05-2026 14:32:33,1.107s,PASSED
"setEncryptedText(findTestObject(""OrangeHRM/Page_OrangeHRM/input_Password""), LoginPassword)",Chrome 148.0.7778.97,,,12-05-2026 14:32:33,12-05-2026 14:32:33,0.266s,PASSED
"click(findTestObject(""OrangeHRM/Page_OrangeHRM/button_Login""))",Chrome 148.0.7778.97,,,12-05-2026 14:32:33,12-05-2026 14:32:34,1.136s,PASSED
"click(findTestObject(""OrangeHRM/Page_OrangeHRM/span_Admin""))",Chrome 148.0.7778.97,,,12-05-2026 14:32:34,12-05-2026 14:32:36,1.479s,PASSED
"setText(findTestObject(""OrangeHRM/Page_OrangeHRM/input_oxd-input oxd-input-active""), ""mohit kumar"")",Chrome 148.0.7778.97,,,12-05-2026 14:32:36,12-05-2026 14:32:37,1.230s,PASSED
"waitForElementPresent(findTestObject(""OrangeHRM/Page_OrangeHRM/h5_System Users""), 10)",Chrome 148.0.7778.97,,,12-05-2026 14:32:37,12-05-2026 14:32:37,0.224s,PASSED
"verifyElementText(findTestObject(""OrangeHRM/Page_OrangeHRM/h5_System Users""), ""System Users"")",Chrome 148.0.7778.97,,,12-05-2026 14:32:37,12-05-2026 14:32:38,0.225s,PASSED
"waitForElementPresent(findTestObject(""OrangeHRM/Page_OrangeHRM/h5_System Users""), 10)",Chrome 148.0.7778.97,,,12-05-2026 14:32:38,12-05-2026 14:32:38,0.216s,PASSED
"click(findTestObject(""OrangeHRM/Page_OrangeHRM/button_Search""))",Chrome 148.0.7778.97,,,12-05-2026 14:32:38,12-05-2026 14:32:38,0.261s,PASSED
"waitForElementPresent(findTestObject(""OrangeHRM/Page_OrangeHRM/span_No Records Found""), 10)",Chrome 148.0.7778.97,,,12-05-2026 14:32:38,12-05-2026 14:32:39,0.724s,PASSED
"verifyElementText(findTestObject(""OrangeHRM/Page_OrangeHRM/span_No Records Found""), ""No Records Found"")",Chrome 148.0.7778.97,,,12-05-2026 14:32:39,12-05-2026 14:32:39,0.219s,PASSED
"click(findTestObject(""OrangeHRM/Page_OrangeHRM/span_Leave""))",Chrome 148.0.7778.97,,,12-05-2026 14:32:39,12-05-2026 14:32:40,0.763s,PASSED
"waitForElementPresent(findTestObject(""OrangeHRM/Page_OrangeHRM/h5_Leave List""), 10)",Chrome 148.0.7778.97,,,12-05-2026 14:32:40,12-05-2026 14:32:41,1.027s,PASSED
"verifyElementText(findTestObject(""OrangeHRM/Page_OrangeHRM/h5_Leave List""), ""Leave List"")",Chrome 148.0.7778.97,,,12-05-2026 14:32:41,12-05-2026 14:32:41,0.219s,PASSED
"click(findTestObject(""OrangeHRM/Page_OrangeHRM/span_Time""))",Chrome 148.0.7778.97,,,12-05-2026 14:32:41,12-05-2026 14:32:42,0.783s,PASSED
"waitForElementPresent(findTestObject(""OrangeHRM/Page_OrangeHRM/h6_Select Employee""), 10)",Chrome 148.0.7778.97,,,12-05-2026 14:32:42,12-05-2026 14:32:43,0.927s,PASSED
"verifyElementText(findTestObject(""OrangeHRM/Page_OrangeHRM/h6_Select Employee""), ""Select Employee"")",Chrome 148.0.7778.97,,,12-05-2026 14:32:43,12-05-2026 14:32:43,0.218s,PASSED
"click(findTestObject(""OrangeHRM/Page_OrangeHRM/span_My Info""))",Chrome 148.0.7778.97,,,12-05-2026 14:32:43,12-05-2026 14:32:44,0.783s,PASSED
"waitForElementPresent(findTestObject(""OrangeHRM/Page_OrangeHRM/h6_Personal Details""), 10)",Chrome 148.0.7778.97,,,12-05-2026 14:32:44,12-05-2026 14:32:45,1.431s,PASSED
"verifyElementText(findTestObject(""OrangeHRM/Page_OrangeHRM/h6_Personal Details""), ""Personal Details"")",Chrome 148.0.7778.97,,,12-05-2026 14:32:45,12-05-2026 14:32:45,0.217s,PASSED
"click(findTestObject(""OrangeHRM/Page_OrangeHRM/span_Maintenance""))",Chrome 148.0.7778.97,,,12-05-2026 14:32:45,12-05-2026 14:32:46,0.819s,PASSED
"waitForElementPresent(findTestObject(""OrangeHRM/Page_OrangeHRM/h6_Administrator Access""), 10)",Chrome 148.0.7778.97,,,12-05-2026 14:32:46,12-05-2026 14:32:47,0.722s,PASSED
"verifyElementText(findTestObject(""OrangeHRM/Page_OrangeHRM/h6_Administrator Access""), ""Administrator Access"")",Chrome 148.0.7778.97,,,12-05-2026 14:32:47,12-05-2026 14:32:47,0.216s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 148.0.7778.97,,,12-05-2026 14:32:47,12-05-2026 14:32:47,0.103s,PASSED
,,,,,,,
Test Cases/OrangeHRM/TC001-Orange HRM Search - Datadriven Test,Chrome 148.0.7778.97,,,12-05-2026 14:32:47,12-05-2026 14:33:28,40.719s,PASSED
"DATA BINDING - {""ApplicationUrl"":""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"",""LoginUser"":""Admin"",""LoginPassword"":""********""}",,,,,,,
"openBrowser("""")",Chrome 148.0.7778.97,,,12-05-2026 14:32:47,12-05-2026 14:32:48,1.107s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 148.0.7778.97,,,12-05-2026 14:32:48,12-05-2026 14:32:49,0.391s,PASSED
navigateToUrl(ApplicationUrl),Chrome 148.0.7778.97,,,12-05-2026 14:32:49,12-05-2026 14:32:52,3.696s,PASSED
"setText(findTestObject(""OrangeHRM/Page_OrangeHRM/input_Username""), LoginUser)",Chrome 148.0.7778.97,,,12-05-2026 14:32:52,12-05-2026 14:32:54,1.452s,PASSED
"setEncryptedText(findTestObject(""OrangeHRM/Page_OrangeHRM/input_Password""), LoginPassword)",Chrome 148.0.7778.97,,,12-05-2026 14:32:54,12-05-2026 14:32:54,0.257s,PASSED
"click(findTestObject(""OrangeHRM/Page_OrangeHRM/button_Login""))",Chrome 148.0.7778.97,,,12-05-2026 14:32:54,12-05-2026 14:32:59,4.618s,PASSED
"click(findTestObject(""OrangeHRM/Page_OrangeHRM/span_Admin""))",Chrome 148.0.7778.97,,,12-05-2026 14:32:59,12-05-2026 14:33:09,10.382s,PASSED
"setText(findTestObject(""OrangeHRM/Page_OrangeHRM/input_oxd-input oxd-input-active""), ""mohit kumar"")",Chrome 148.0.7778.97,,,12-05-2026 14:33:09,12-05-2026 14:33:13,3.928s,PASSED
"waitForElementPresent(findTestObject(""OrangeHRM/Page_OrangeHRM/h5_System Users""), 10)",Chrome 148.0.7778.97,,,12-05-2026 14:33:13,12-05-2026 14:33:13,0.217s,PASSED
"verifyElementText(findTestObject(""OrangeHRM/Page_OrangeHRM/h5_System Users""), ""System Users"")",Chrome 148.0.7778.97,,,12-05-2026 14:33:13,12-05-2026 14:33:14,0.219s,PASSED
"waitForElementPresent(findTestObject(""OrangeHRM/Page_OrangeHRM/h5_System Users""), 10)",Chrome 148.0.7778.97,,,12-05-2026 14:33:14,12-05-2026 14:33:14,0.214s,PASSED
"click(findTestObject(""OrangeHRM/Page_OrangeHRM/button_Search""))",Chrome 148.0.7778.97,,,12-05-2026 14:33:14,12-05-2026 14:33:14,0.245s,PASSED
"waitForElementPresent(findTestObject(""OrangeHRM/Page_OrangeHRM/span_No Records Found""), 10)",Chrome 148.0.7778.97,,,12-05-2026 14:33:14,12-05-2026 14:33:15,1.130s,PASSED
"verifyElementText(findTestObject(""OrangeHRM/Page_OrangeHRM/span_No Records Found""), ""No Records Found"")",Chrome 148.0.7778.97,,,12-05-2026 14:33:15,12-05-2026 14:33:15,0.218s,PASSED
"click(findTestObject(""OrangeHRM/Page_OrangeHRM/span_Leave""))",Chrome 148.0.7778.97,,,12-05-2026 14:33:15,12-05-2026 14:33:16,1.076s,PASSED
"waitForElementPresent(findTestObject(""OrangeHRM/Page_OrangeHRM/h5_Leave List""), 10)",Chrome 148.0.7778.97,,,12-05-2026 14:33:16,12-05-2026 14:33:19,2.339s,PASSED
"verifyElementText(findTestObject(""OrangeHRM/Page_OrangeHRM/h5_Leave List""), ""Leave List"")",Chrome 148.0.7778.97,,,12-05-2026 14:33:19,12-05-2026 14:33:19,0.215s,PASSED
"click(findTestObject(""OrangeHRM/Page_OrangeHRM/span_Time""))",Chrome 148.0.7778.97,,,12-05-2026 14:33:19,12-05-2026 14:33:20,1.326s,PASSED
"waitForElementPresent(findTestObject(""OrangeHRM/Page_OrangeHRM/h6_Select Employee""), 10)",Chrome 148.0.7778.97,,,12-05-2026 14:33:20,12-05-2026 14:33:21,1.126s,PASSED
"verifyElementText(findTestObject(""OrangeHRM/Page_OrangeHRM/h6_Select Employee""), ""Select Employee"")",Chrome 148.0.7778.97,,,12-05-2026 14:33:21,12-05-2026 14:33:22,0.216s,PASSED
"click(findTestObject(""OrangeHRM/Page_OrangeHRM/span_My Info""))",Chrome 148.0.7778.97,,,12-05-2026 14:33:22,12-05-2026 14:33:23,1.604s,PASSED
"waitForElementPresent(findTestObject(""OrangeHRM/Page_OrangeHRM/h6_Personal Details""), 10)",Chrome 148.0.7778.97,,,12-05-2026 14:33:23,12-05-2026 14:33:26,2.547s,PASSED
"verifyElementText(findTestObject(""OrangeHRM/Page_OrangeHRM/h6_Personal Details""), ""Personal Details"")",Chrome 148.0.7778.97,,,12-05-2026 14:33:26,12-05-2026 14:33:26,0.216s,PASSED
