Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementText(findTestObject(""OrangeHRM/Page_OrangeHRM/span_No Records Found""), ""No Records Found"")",Chrome 148.0.7778.97,,,12-05-2026 15:14:13,12-05-2026 15:14:13,0.246s,PASSED
"click(findTestObject(""OrangeHRM/Page_OrangeHRM/span_Leave""))",Chrome 148.0.7778.97,,,12-05-2026 15:14:13,12-05-2026 15:14:14,0.902s,PASSED
"waitForElementPresent(findTestObject(""OrangeHRM/Page_OrangeHRM/h5_Leave List""), 10)",Chrome 148.0.7778.97,,,12-05-2026 15:14:14,12-05-2026 15:14:15,1.048s,PASSED
takeScreenshot(),Chrome 148.0.7778.97,,,12-05-2026 15:14:15,12-05-2026 15:14:15,0.335s,PASSED
"verifyElementText(findTestObject(""OrangeHRM/Page_OrangeHRM/h5_Leave List""), ""Leave List"")",Chrome 148.0.7778.97,,,12-05-2026 15:14:15,12-05-2026 15:14:16,0.241s,PASSED
"click(findTestObject(""OrangeHRM/Page_OrangeHRM/span_Time""))",Chrome 148.0.7778.97,,,12-05-2026 15:14:16,12-05-2026 15:14:16,0.901s,PASSED
"waitForElementPresent(findTestObject(""OrangeHRM/Page_OrangeHRM/h6_Select Employee""), 10)",Chrome 148.0.7778.97,,,12-05-2026 15:14:16,12-05-2026 15:14:18,1.049s,PASSED
takeScreenshot(),Chrome 148.0.7778.97,,,12-05-2026 15:14:18,12-05-2026 15:14:18,0.334s,PASSED
"verifyElementText(findTestObject(""OrangeHRM/Page_OrangeHRM/h6_Select Employee""), ""Select Employee"")",Chrome 148.0.7778.97,,,12-05-2026 15:14:18,12-05-2026 15:14:18,0.245s,PASSED
"click(findTestObject(""OrangeHRM/Page_OrangeHRM/span_My Info""))",Chrome 148.0.7778.97,,,12-05-2026 15:14:18,12-05-2026 15:14:19,0.892s,PASSED
"waitForElementPresent(findTestObject(""OrangeHRM/Page_OrangeHRM/h6_Personal Details""), 10)",Chrome 148.0.7778.97,,,12-05-2026 15:14:19,12-05-2026 15:14:20,1.353s,PASSED
takeScreenshot(),Chrome 148.0.7778.97,,,12-05-2026 15:14:20,12-05-2026 15:14:21,0.334s,PASSED
"verifyElementText(findTestObject(""OrangeHRM/Page_OrangeHRM/h6_Personal Details""), ""Personal Details"")",Chrome 148.0.7778.97,,,12-05-2026 15:14:21,12-05-2026 15:14:21,0.239s,PASSED
"click(findTestObject(""OrangeHRM/Page_OrangeHRM/span_Maintenance""))",Chrome 148.0.7778.97,,,12-05-2026 15:14:21,12-05-2026 15:14:22,0.850s,PASSED
"waitForElementPresent(findTestObject(""OrangeHRM/Page_OrangeHRM/h6_Administrator Access""), 10)",Chrome 148.0.7778.97,,,12-05-2026 15:14:22,12-05-2026 15:14:23,0.749s,PASSED
takeScreenshot(),Chrome 148.0.7778.97,,,12-05-2026 15:14:23,12-05-2026 15:14:23,0.290s,PASSED
"verifyElementText(findTestObject(""OrangeHRM/Page_OrangeHRM/h6_Administrator Access""), ""Administrator Access"")",Chrome 148.0.7778.97,,,12-05-2026 15:14:23,12-05-2026 15:14:23,0.234s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 148.0.7778.97,,,12-05-2026 15:14:23,12-05-2026 15:14:23,0.155s,PASSED
